epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,149.58,1.09969,1.18059,1.49916,0.79214,0.84211,0.92177,0.6561,0.92135,1.57337,1.38042,0.000581,0.000581,0.000581
45,156.916,1.11085,1.19085,1.54564,0.8097,0.97368,0.92848,0.65626,0.94893,1.43681,1.43091,0.000548,0.000548,0.000548
46,168.511,1.08673,1.13902,1.43625,0.88205,0.76316,0.79539,0.5495,0.91327,1.38017,1.35368,0.000515,0.000515,0.000515
47,171.283,1.11757,1.04277,1.44818,0.8726,0.92105,0.96881,0.67316,0.91327,1.38017,1.35368,0.000482,0.000482,0.000482
48,177.8,1.16954,1.18342,1.53645,0.87117,0.88985,0.96785,0.75584,0.81159,1.00039,1.24105,0.000449,0.000449,0.000449
49,185.073,1.08625,1.01873,1.45424,0.78972,0.98847,0.95911,0.75865,0.79909,0.86141,1.21512,0.000416,0.000416,0.000416
50,193.779,1.19742,1.09,1.56169,0.82115,1,0.95954,0.76191,0.79942,0.7862,1.20158,0.000383,0.000383,0.000383
51,204.587,0.91551,1.1214,1.35971,0.82115,1,0.95954,0.76191,0.79942,0.7862,1.20158,0.00035,0.00035,0.00035
52,210.485,1.01637,1.30597,1.47446,0.90335,0.94737,0.97534,0.76188,0.82314,0.77007,1.20744,0.000317,0.000317,0.000317
53,213.258,1.06565,1.18697,1.47508,0.94691,0.97368,0.98027,0.76306,0.84837,0.74518,1.22164,0.000284,0.000284,0.000284
54,222.15,0.91196,0.9914,1.31738,0.9039,1,0.98184,0.77663,0.83348,0.70576,1.20751,0.000251,0.000251,0.000251
55,228.608,0.86374,0.94254,1.2441,0.9039,1,0.98184,0.77663,0.83348,0.70576,1.20751,0.000218,0.000218,0.000218
56,235.479,0.91195,0.9699,1.42448,0.94865,0.97232,0.98528,0.80508,0.76192,0.68157,1.14673,0.000185,0.000185,0.000185
57,245.321,0.89314,0.92631,1.34442,0.92164,1,0.98988,0.82935,0.697,0.64661,1.11273,0.000152,0.000152,0.000152
58,248.92,0.89736,0.97113,1.41024,0.91811,1,0.9908,0.83571,0.66972,0.61711,1.10097,0.000119,0.000119,0.000119
59,257.243,0.85302,0.83184,1.32116,0.91811,1,0.9908,0.83571,0.66972,0.61711,1.10097,8.6e-05,8.6e-05,8.6e-05
60,263.789,0.91527,0.90355,1.32744,0.91994,1,0.9908,0.82491,0.66522,0.60966,1.09889,5.3e-05,5.3e-05,5.3e-05
