epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,156.742,1.01961,1.026,1.28695,0.94314,0.66696,0.8231,0.6131,0.93762,1.19938,1.36242,0.000539275,0.000539275,0.000539275
43,162.662,1.09477,1.02237,1.36945,0.82079,0.75804,0.84953,0.64109,1.00321,0.97228,1.36154,0.000511769,0.000511769,0.000511769
44,165.98,0.9794,1.0732,1.34692,0.90279,0.91087,0.93237,0.71503,1.01065,0.88576,1.39895,0.000484263,0.000484263,0.000484263
45,174.868,1.00529,0.97432,1.33919,0.94873,0.91161,0.95965,0.72109,0.9362,0.80706,1.33573,0.000456758,0.000456758,0.000456758
46,178.612,0.95844,0.94804,1.23746,0.94873,0.91161,0.95965,0.72109,0.9362,0.80706,1.33573,0.000429253,0.000429253,0.000429253
47,182.014,0.9743,1.01005,1.23791,0.97121,0.87945,0.96038,0.75106,0.81738,0.78054,1.26263,0.000401747,0.000401747,0.000401747
48,191.278,0.92787,0.92188,1.20301,0.97313,0.87141,0.96617,0.76228,0.79333,0.70472,1.24032,0.000374242,0.000374242,0.000374242
49,195.206,1.09742,1.10458,1.46283,0.88306,0.94602,0.9685,0.76556,0.77803,0.69375,1.24486,0.000346736,0.000346736,0.000346736
50,202.19,1.01428,0.95245,1.3336,0.91294,0.92237,0.95229,0.75462,0.77101,0.66456,1.24366,0.000319231,0.000319231,0.000319231
51,206.093,1.24382,1.01713,1.87385,0.91173,0.94027,0.97183,0.77372,0.75147,0.61046,1.21289,0.000291725,0.000291725,0.000291725
52,211.9,0.92059,0.87646,1.41287,0.93247,0.91714,0.98102,0.79735,0.76539,0.60276,1.20475,0.00026422,0.00026422,0.00026422
53,215.516,0.81478,0.82827,1.27886,0.99392,0.90414,0.98034,0.7916,0.74956,0.60239,1.18833,0.000236714,0.000236714,0.000236714
54,218.657,1.13519,1.01845,1.47629,0.99392,0.90414,0.98034,0.7916,0.74956,0.60239,1.18833,0.000209209,0.000209209,0.000209209
55,222.537,0.96352,0.94691,1.51452,0.98833,0.88529,0.97787,0.7933,0.70995,0.60798,1.15611,0.000181703,0.000181703,0.000181703
56,227.794,0.76361,1.04909,1.22383,0.9395,0.93177,0.97684,0.81304,0.69286,0.5848,1.13907,0.000154198,0.000154198,0.000154198
57,231.453,0.73367,0.70409,1.18242,0.95699,0.9493,0.97996,0.82584,0.67836,0.55921,1.12732,0.000126692,0.000126692,0.000126692
58,234.815,0.85902,0.76226,1.28568,0.96218,0.93804,0.98049,0.83507,0.66522,0.54171,1.1273,9.91865e-05,9.91865e-05,9.91865e-05
59,243.813,0.84028,0.81517,1.4924,0.96456,0.9291,0.98043,0.84093,0.64648,0.54523,1.1196,7.1681e-05,7.1681e-05,7.1681e-05
60,247.507,0.80598,0.73284,1.34414,0.94079,0.97846,0.98468,0.84284,0.62403,0.53956,1.10856,4.41755e-05,4.41755e-05,4.41755e-05
